Lesioned: false
Trials: 30

Discount Rate	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.0	0.371	0.051	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.02	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.04	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.06	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.08	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.1	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.12	0.351	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.14	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.16	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.18	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.199	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.219	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.239	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.259	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.279	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.3	0.351	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.32	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.34	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.36	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.38	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.4	0.356	0.028	0.5	0.0	0.0	0.0	0.5	0.0	0.0060	0.024	0.0	0.0
0.42	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.44	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.46	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.48	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
