Lesioned: true
Trials: 30

Discount Rate	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.0	0.369	0.05	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.02	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.04	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.017	0.0	0.0
0.06	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.08	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.017	0.0	0.0
0.1	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.017	0.0	0.0
0.12	0.369	0.05	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.14	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.017	0.0	0.0
0.16	0.371	0.051	0.5	0.0	0.0	0.0	0.5	0.0	0.793	0.024	0.0	0.0
0.18	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.017	0.0	0.0
0.199	0.376	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.017	0.0	0.0
0.219	0.354	0.047	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.239	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.025	0.0	0.0
0.259	0.356	0.028	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.279	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.3	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.32	0.364	0.059	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.017	0.0	0.0
0.34	0.374	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.36	0.371	0.051	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.017	0.0	0.0
0.38	0.356	0.028	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.4	0.374	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.017	0.0	0.0
0.42	0.368	0.052	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.04	0.0	0.0
0.44	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.46	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
0.48	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.0	0.0	0.0
