Lesioned: true
Trials: 30

Discount Rate	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.5	0.384	0.063	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.017	0.0	0.0
0.52	0.369	0.064	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.017	0.0	0.0
0.54	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.766	0.047	0.0	0.0
0.56	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.723	0.042	0.0	0.0
0.58	0.369	0.05	0.5	0.0	0.0	0.0	0.5	0.0	0.693	0.062	0.0	0.0
0.6	0.369	0.05	0.5	0.0	0.0	0.0	0.5	0.0	0.673	0.077	0.0	0.0
0.62	0.379	0.06	0.5	0.0	0.0	0.0	0.5	0.0	0.636	0.048	0.0	0.0
0.64	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.603	0.048	0.0	0.0
0.66	0.384	0.063	0.5	0.0	0.0	0.0	0.5	0.0	0.589	0.065	0.0	0.0
0.68	0.369	0.05	0.5	0.0	0.0	0.0	0.5	0.0	0.553	0.056	0.0	0.0
0.7	0.361	0.054	0.5	0.0	0.0	0.0	0.5	0.0	0.519	0.054	0.0	0.0
0.72	0.374	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.51	0.059	0.0	0.0
0.74	0.369	0.05	0.5	0.0	0.0	0.0	0.5	0.0	0.473	0.051	0.0	0.0
0.76	0.379	0.06	0.5	0.0	0.0	0.0	0.5	0.0	0.46	0.048	0.0	0.0
0.78	0.363	0.038	0.5	0.0	0.0	0.0	0.5	0.0	0.43	0.045	0.0	0.0
0.8	0.353	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.416	0.037	0.0	0.0
0.82	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.416	0.037	0.0	0.0
0.84	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.41	0.047	0.0	0.0
0.86	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.4	0.0	0.0	0.0
0.88	0.374	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.4	0.025	0.0	0.0
0.9	0.384	0.063	0.5	0.0	0.0	0.0	0.5	0.0	0.4	0.0	0.0	0.0
0.92	0.369	0.05	0.5	0.0	0.0	0.0	0.5	0.0	0.4	0.0	0.0	0.0
0.94	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.396	0.017	0.0	0.0
0.96	0.374	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.4	0.0	0.0	0.0
0.98	0.374	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.403	0.017	0.0	0.0
