Lesioned: false
Trials: 30

Learning Rate	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.1	0.374	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.0060	0.024	0.0	0.0
0.12	0.374	0.055	0.5	0.0	0.0	0.0	0.5	0.0	0.013	0.033	0.0	0.0
0.14	0.215	0.059	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.16	0.371	0.071	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.18	0.49	0.032	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.20	0.5	0.022	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.22	0.501	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.24	0.493	0.028	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.26	0.5	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.28	0.496	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.3	0.636	0.04	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.32	0.644	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.34	0.623	0.06	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.36	0.651	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.38	0.636	0.038	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.4	0.636	0.036	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.42	0.651	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.44	0.649	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.46	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.48	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.5	0.646	0.028	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.52	0.644	0.015	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.54	0.651	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.56	0.646	0.022	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.58	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.6	0.649	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.62	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.64	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.66	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.68	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.7	0.651	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.72	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.74	0.64	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.76	0.644	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.78	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.8	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.82	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.84	0.643	0.028	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.86	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.88	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.9	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.92	0.644	0.015	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.94	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.96	0.644	0.029	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.98	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
