Lesioned: true
Trials: 30

Learning Rate	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.02	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.04	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.423	0.071	0.0	0.0
0.06	0.195	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.044	0.0	0.0
0.08	0.24	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.869	0.052	0.0	0.0
0.1	0.384	0.063	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.031	0.0	0.0
0.12	0.373	0.052	0.5	0.0	0.0	0.0	0.5	0.0	0.633	0.064	0.0	0.0
0.14	0.223	0.069	0.5	0.0	0.0	0.0	0.5	0.0	0.523	0.061	0.0	0.0
0.16	0.378	0.057	0.5	0.0	0.0	0.0	0.5	0.0	0.413	0.042	0.0	0.0
0.18	0.5	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.403	0.017	0.0	0.0
0.199	0.5	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.4	0.0	0.0	0.0
0.219	0.5	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.333	0.047	0.0	0.0
0.239	0.498	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.306	0.024	0.0	0.0
0.259	0.496	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.273	0.044	0.0	0.0
0.279	0.505	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.216	0.037	0.0	0.0
0.3	0.623	0.054	0.5	0.0	0.0	0.0	0.5	0.0	0.203	0.017	0.0	0.0
0.32	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.193	0.035	0.0	0.0
0.34	0.645	0.019	0.5	0.0	0.0	0.0	0.5	0.0	0.123	0.042	0.0	0.0
0.36	0.636	0.033	0.5	0.0	0.0	0.0	0.5	0.0	0.12	0.04	0.0	0.0
0.38	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.116	0.037	0.0	0.0
0.4	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.106	0.024	0.0	0.0
0.42	0.644	0.015	0.5	0.0	0.0	0.0	0.5	0.0	0.103	0.017	0.0	0.0
0.44	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.083	0.037	0.0	0.0
0.46	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.06	0.048	0.0	0.0
0.48	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.026	0.044	0.0	0.0
