Lesioned: false
Trials: 30

Upscale	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.2	0.495	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.016	0.037	0.0	0.0
0.22	0.501	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.016	0.037	0.0	0.0
0.24	0.498	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.26	0.459	0.02	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.28	0.464	0.022	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.3	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.02	0.039	0.0	0.0
0.32	0.643	0.024	0.5	0.0	0.0	0.0	0.5	0.0	0.046	0.049	0.0	0.0
0.34	0.638	0.04	0.5	0.0	0.0	0.0	0.5	0.0	0.029	0.045	0.0	0.0
0.36	0.64	0.023	0.5	0.0	0.0	0.0	0.5	0.0	0.026	0.044	0.0	0.0
0.38	0.644	0.019	0.5	0.0	0.0	0.0	0.5	0.0	0.026	0.044	0.0	0.0
0.4	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.02	0.039	0.0	0.0
0.42	0.636	0.036	0.5	0.0	0.0	0.0	0.5	0.0	0.026	0.044	0.0	0.0
0.44	0.635	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.033	0.047	0.0	0.0
0.46	0.644	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.016	0.037	0.0	0.0
0.48	0.646	0.022	0.5	0.0	0.0	0.0	0.5	0.0	0.013	0.033	0.0	0.0
0.5	0.643	0.021	0.5	0.0	0.0	0.0	0.5	0.0	0.05	0.05	0.0	0.0
0.52	0.638	0.027	0.5	0.0	0.0	0.0	0.5	0.0	0.043	0.049	0.0	0.0
0.54	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.06	0.048	0.0	0.0
0.56	0.646	0.017	0.5	0.0	0.0	0.0	0.5	0.0	0.06	0.048	0.0	0.0
0.58	0.641	0.029	0.5	0.0	0.0	0.0	0.5	0.0	0.036	0.048	0.0	0.0
0.6	0.644	0.015	0.5	0.0	0.0	0.0	0.5	0.0	0.056	0.049	0.0	0.0
0.62	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.05	0.05	0.0	0.0
0.64	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.063	0.048	0.0	0.0
0.66	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.043	0.049	0.0	0.0
0.68	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.056	0.049	0.0	0.0
0.7	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.043	0.049	0.0	0.0
0.72	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.06	0.048	0.0	0.0
0.74	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.043	0.049	0.0	0.0
0.76	0.649	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.06	0.048	0.0	0.0
0.78	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.043	0.049	0.0	0.0
0.8	0.644	0.015	0.5	0.0	0.0	0.0	0.5	0.0	0.036	0.048	0.0	0.0
0.82	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.053	0.049	0.0	0.0
0.84	0.646	0.017	0.5	0.0	0.0	0.0	0.5	0.0	0.056	0.049	0.0	0.0
0.86	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.05	0.05	0.0	0.0
0.88	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.05	0.05	0.0	0.0
0.9	0.633	0.058	0.5	0.0	0.0	0.0	0.5	0.0	0.053	0.049	0.0	0.0
0.92	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.046	0.049	0.0	0.0
0.94	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.04	0.048	0.0	0.0
0.96	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.043	0.049	0.0	0.0
0.98	0.65	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.04	0.048	0.0	0.0
