Lesioned: true
Trials: 30

Upscale	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.0	0.048	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.81	0.059	0.0	0.0
0.02	0.058	0.059	0.5	0.0	0.0	0.0	0.5	0.0	0.826	0.044	0.0	0.0
0.04	0.053	0.054	0.5	0.0	0.0	0.0	0.5	0.0	0.823	0.061	0.0	0.0
0.06	0.163	0.074	0.5	0.0	0.0	0.0	0.5	0.0	0.823	0.055	0.0	0.0
0.08	0.221	0.08	0.5	0.0	0.0	0.0	0.5	0.0	0.806	0.024	0.0	0.0
0.1	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.806	0.024	0.0	0.0
0.12	0.364	0.045	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.025	0.0	0.0
0.14	0.364	0.06	0.5	0.0	0.0	0.0	0.5	0.0	0.93	0.082	0.0	0.0
0.16	0.354	0.05	0.5	0.0	0.0	0.0	0.5	0.0	0.929	0.073	0.0	0.0
0.18	0.488	0.044	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.051	0.0	0.0
0.199	0.488	0.038	0.5	0.0	0.0	0.0	0.5	0.0	0.816	0.045	0.0	0.0
0.219	0.498	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.025	0.0	0.0
0.239	0.5	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.017	0.0	0.0
0.259	0.456	0.016	0.5	0.0	0.0	0.0	0.5	0.0	0.793	0.024	0.0	0.0
0.279	0.463	0.022	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.017	0.0	0.0
0.3	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.036	0.0	0.0
0.32	0.641	0.029	0.5	0.0	0.0	0.0	0.5	0.0	0.81	0.029	0.0	0.0
0.34	0.643	0.028	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.031	0.0	0.0
0.36	0.643	0.021	0.5	0.0	0.0	0.0	0.5	0.0	0.82	0.047	0.0	0.0
0.38	0.628	0.06	0.5	0.0	0.0	0.0	0.5	0.0	0.82	0.06	0.0	0.0
0.4	0.636	0.036	0.5	0.0	0.0	0.0	0.5	0.0	0.813	0.056	0.0	0.0
0.42	0.638	0.038	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.017	0.0	0.0
0.44	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.8	0.025	0.0	0.0
0.46	0.643	0.024	0.5	0.0	0.0	0.0	0.5	0.0	0.796	0.048	0.0	0.0
0.48	0.641	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.803	0.048	0.0	0.0
