Lesioned: true
Trials: 30

Upscale	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.5	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.74	0.091	0.0	0.0
0.52	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.746	0.084	0.0	0.0
0.54	0.644	0.019	0.5	0.0	0.0	0.0	0.5	0.0	0.76	0.108	0.0	0.0
0.56	0.646	0.017	0.5	0.0	0.0	0.0	0.5	0.0	0.713	0.095	0.0	0.0
0.58	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.753	0.105	0.0	0.0
0.6	0.646	0.017	0.5	0.0	0.0	0.0	0.5	0.0	0.77	0.126	0.0	0.0
0.62	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.746	0.123	0.0	0.0
0.64	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.733	0.09	0.0	0.0
0.66	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.743	0.117	0.0	0.0
0.68	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.726	0.109	0.0	0.0
0.7	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.753	0.111	0.0	0.0
0.72	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.75	0.088	0.0	0.0
0.74	0.649	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.716	0.115	0.0	0.0
0.76	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.706	0.062	0.0	0.0
0.78	0.64	0.053	0.5	0.0	0.0	0.0	0.5	0.0	0.753	0.108	0.0	0.0
0.8	0.649	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.726	0.103	0.0	0.0
0.82	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.746	0.105	0.0	0.0
0.84	0.646	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.78	0.101	0.0	0.0
0.86	0.638	0.054	0.5	0.0	0.0	0.0	0.5	0.0	0.773	0.131	0.0	0.0
0.88	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.766	0.086	0.0	0.0
0.9	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.746	0.114	0.0	0.0
0.92	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.743	0.091	0.0	0.0
0.94	0.648	0.0080	0.5	0.0	0.0	0.0	0.5	0.0	0.743	0.088	0.0	0.0
0.96	0.649	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.763	0.083	0.0	0.0
0.98	0.65	0.012	0.5	0.0	0.0	0.0	0.5	0.0	0.753	0.095	0.0	0.0
